cards_initial,moves_initial,hand1_cards,hand2_cards,moves_1,moves_2,dealer_hand,money
"['Q', 3, 6, 3, 4]","['H', 'H', 'DD']",[],[],[],[],"[3, 4, 'J']",-200
"['Q', 'Q']",['S'],[],[],[],[],"[6, 5, 4, 'J']",100
"[10, 'J']",['S'],[],[],[],[],"[8, 6, 6]",0
"['Q', 5]",['S'],[],[],[],[],"[4, 'A', 9, 9]",100
"[6, 5, 8, 'A']","['H', 'DD']",[],[],[],[],"['A', 'J', 10]",-200
"[8, 7, 6]",['DD'],[],[],[],[],"['Q', 6, 'Q']",200
"[7, 'A', 3]","['H', 'S']",[],[],[],[],"['K', 6, 'J']",100
"[5, 10, 10]","['H', 'S']",[],[],[],[],"[2, 8, 4, 9]",-100
"['A', 4, 9]",['DD'],[],[],[],[],"[5, 7, 2, 2, 8]",200
"['Q', 10]",['S'],[],[],[],[],"[7, 5, 6]",100
"[9, 'A']",['S'],[],[],[],[],"[8, 4, 7]",-100
"[5, 10]",['S'],[],[],[],[],"[9, 5, 6]",-100
"[2, 5, 6, 2]","['H', 'DD']",[],[],[],[],"[7, 'Q']",-200
"[5, 2, 'A']",['DD'],[],[],[],[],"[7, 'J']",-200
"[5, 'Q', 6]",['DD'],[],[],[],[],"['J', 7]",200
"[8, 'A', 'A']",['DD'],[],[],[],[],"[6, 3, 4, 4]",-200
"[8, 4]",['S'],[],[],[],[],"[8, 'A', 8, 'K']",100
"[8, 'K', 9]","['H', 'S']",[],[],[],[],"[2, 2, 2, 2, 9]",-100
"[7, 9, 3]","['H', 'S']",[],[],[],[],"['Q', 10]",-100
"[10, 3, 5]",['DD'],[],[],[],[],"[7, 8, 2]",200
"[2, 3, 9]",['DD'],[],[],[],[],"[7, 3, 9]",-200
"[3, 10, 2]",['DD'],[],[],[],[],"[9, 'K']",-200
"[7, 'J', 7]",['DD'],[],[],[],[],"[6, 9, 6]",-200
"['J', 9]",['S'],[],[],[],[],"[6, 8, 3]",100
"['A', 2]",['S'],[],[],[],[],"[5, 8, 'A', 'J']",100
"[8, 2]",['S'],[],[],[],[],"['Q', 3, 7]",-100
"[9, 7, 'Q']",['DD'],[],[],[],[],"[9, 4, 8]",-200
"[4, 'J', 8]","['H', 'S']",[],[],[],[],"[3, 10, 3, 'J']",-100
"['Q', 'A']",['S'],[],[],[],[],"['K', 'A', 5, 4]",-100
"[7, 'J']",['S'],[],[],[],[],"[4, 5, 10]",-100
"[3, 4, 9, 10]","['H', 'DD']",[],[],[],[],"[8, 3, 'K']",-200
"[9, 2]",['S'],[],[],[],[],"[9, 10]",-100
"[5, 'Q', 10]",['DD'],[],[],[],[],"[7, 5, 7]",-200
"['K', 8, 'A', 5]","['H', 'DD']",[],[],[],[],"['A', 6, 'K', 6]",-200
"[6, 7, 'J', 8]","['H', 'DD']",[],[],[],[],"['K', 2, 4, 'A', 'Q']",-200
"[8, 3, 4]",['DD'],[],[],[],[],"[10, 'A', 8]",-200
"[9, 6, 10]","['H', 'S']",[],[],[],[],"[9, 'J']",-100
"[7, 10, 10, 2]","['H', 'H', 'S']",[],[],[],[],"[5, 2, 10]",-100
"['A', 'Q', 6]",['DD'],[],[],[],[],"['K', 'K']",-200
"['J', 4, 10]",['DD'],[],[],[],[],"[5, 2, 5, 6]",-200
"['K', 'J', 3, 'Q']","['H', 'DD']",[],[],[],[],"[3, 9, 3, 4]",-200
"['Q', 8, 'K', 3, 3]","['H', 'H', 'DD']",[],[],[],[],"[10, 'A', 9]",-200
"[2, 'Q', 5]",['DD'],[],[],[],[],"[5, 9, 8]",200
"[4, 4, 2, 3]","['H', 'DD']",[],[],[],[],"[9, 'Q']",-200
"[4, 8, 'K', 7, 9]","['H', 'H', 'DD']",[],[],[],[],"[4, 3, 'K']",-200
"['K', 2, 4]","['H', 'S']",[],[],[],[],"['J', 10]",-100
"[3, 'Q']",['S'],[],[],[],[],"[6, 'Q', 8]",100
"[6, 8]",['S'],[],[],[],[],"['K', 'J']",-100
"[6, 7, 7]",['DD'],[],[],[],[],"[2, 5, 4, 3, 10]",200
"['A', 'J', 4, 'J', 5]","['H', 'H', 'DD']",[],[],[],[],"[4, 6, 8]",-200
"[2, 4, 9]",['DD'],[],[],[],[],"['A', 'Q', 4, 8]",200
"['K', 8, 9]",['DD'],[],[],[],[],"[2, 5, 'A', 'J']",-200
"[7, 'K', 'Q']",['DD'],[],[],[],[],"['K', 'A', 'Q']",-200
"['K', 'Q', 5]","['H', 'S']",[],[],[],[],"[7, 'J']",-100
"['K', 9, 'K', 4, 2, 3]","['H', 'H', 'H', 'DD']",[],[],[],[],"[2, 10, 3, 'A', 'J']",-200
"['Q', 9, 2, 4]","['H', 'DD']",[],[],[],[],"['J', 8]",-200
"[7, 3]",['S'],[],[],[],[],"[9, 7, 5]",-100
"[7, 7]",['S'],[],[],[],[],"[6, 2, 'Q']",-100
"['J', 8, 'Q']",['DD'],[],[],[],[],"['J', 6, 2]",-200
"[7, 6]",['S'],[],[],[],[],"[2, 4, 'Q', 4]",-100
"[6, 'Q']",['S'],[],[],[],[],"[10, 'J']",-100
"[4, 3, 8, 'A']","['H', 'H', 'S']",[],[],[],[],"[10, 5, 2]",-100
"[6, 10, 'A', 9, 'J']","['H', 'H', 'DD']",[],[],[],[],"[9, 10]",-200
"[8, 10, 9, 'A']","['H', 'DD']",[],[],[],[],"[9, 'Q']",-200
"[7, 8, 3]",['DD'],[],[],[],[],"[2, 10, 6]",0
"[7, 8, 'A']",['DD'],[],[],[],[],"[2, 'J', 5]",-200
"['K', 9, 2, 'A']","['H', 'DD']",[],[],[],[],"[5, 4, 7, 5]",0
